Date,positive_score,negative_score,neutral_score
2024-01-10,0.9312682151794434,0.04826345294713974,0.02046835608780384
2024-01-30,0.6172208786010742,0.3464476764202118,0.03633138909935951
2024-02-06,0.9311216473579407,0.05443761870265007,0.0144407469779253
2024-02-09,0.8643565773963928,0.12415574491024017,0.011487646959722042
2024-02-20,0.8910325169563293,0.08356491476297379,0.025402622297406197
2024-03-14,0.9201728105545044,0.07024237513542175,0.009584877640008926
2024-04-19,0.8799896836280823,0.10214775055646896,0.017862549051642418
2024-04-23,0.9199590682983398,0.04771418496966362,0.03232675418257713
2024-04-24,0.9345610737800598,0.042721301317214966,0.02271759882569313
2024-05-02,0.8161966800689697,0.14163999259471893,0.04216335713863373
2024-05-04,0.923041045665741,0.04061838611960411,0.03634060546755791
2024-05-31,0.49891790747642517,0.4850643575191498,0.016017796471714973
2024-06-04,0.9202789664268494,0.06294245272874832,0.016778506338596344
2024-07-06,0.8104379177093506,0.171500692764918,0.01806139387190342
2024-07-18,0.852613091468811,0.13164490461349487,0.01574203558266163
2024-07-23,0.6312242746353149,0.30127769708633423,0.06749796867370605
2024-08-05,0.9182090163230896,0.05789191275835037,0.02389906346797943
2024-08-21,0.9047446846961975,0.05945064499974251,0.03580464422702789
2024-08-24,0.7428446412086487,0.23790894448757172,0.019246408715844154
2024-08-27,0.8209287524223328,0.16174660623073578,0.017324667423963547
2024-08-28,0.8695157766342163,0.06584382802248001,0.06464040279388428
2024-09-03,0.93540358543396,0.038761175237596035,0.025835227221250534
2024-09-04,0.8934581279754639,0.0793805792927742,0.027161220088601112
2024-09-05,0.6713342666625977,0.25835156440734863,0.07031409442424774
2024-09-24,0.9482588768005371,0.029174700379371643,0.02256639115512371
2024-10-16,0.9321635961532593,0.048049286007881165,0.019787177443504333
2024-10-17,0.644777238368988,0.30484379827976227,0.0503789484500885
2024-10-18,0.885882576306661,0.06979012365142505,0.04432727831105391
2024-10-21,0.8192830383777618,0.13013597950339317,0.050581006333231926
2024-10-25,0.7387600541114807,0.2456737905740738,0.015566093847155571
2024-10-28,0.8675264120101929,0.09487418830394745,0.03759942948818207
2024-10-29,0.8392167687416077,0.14974439144134521,0.011038831435143948
2024-11-06,0.944395899772644,0.032319650053977966,0.02328445017337799
2024-11-07,0.8732846975326538,0.07961200177669525,0.04710327833890915
2024-11-08,0.6147435903549194,0.3761523962020874,0.009104042313992977
2024-11-14,0.6247662007808685,0.36798445880413055,0.007249295944347978
2024-11-29,0.7731494307518005,0.21502602100372314,0.011824487708508968
2024-12-04,0.780215322971344,0.1480899304151535,0.07169479876756668
2024-12-06,0.7052804231643677,0.20511494576931,0.08960462361574173
2024-12-13,0.8582178354263306,0.11419165879487991,0.027590561658143997
2024-12-22,0.7484235167503357,0.12708725035190582,0.1244892105460167
2024-12-23,0.5001366138458252,0.493005633354187,0.0068577611818909645
2024-12-25,0.8507893681526184,0.12926728092134,0.019943299237638712
2024-12-30,0.8231078386306763,0.1643865555524826,0.012505612336099148
2025-01-05,0.7298873066902161,0.2609804570674896,0.009132186882197857
2025-01-09,0.867088258266449,0.11562628298997879,0.01728546805679798
