Date,Open,Close,High,Low,Volume
2024-01-09,438.79998779296875,435.8999938964844,438.8999938964844,434.20001220703125,464230
2024-01-10,437.0,437.0,438.0,434.79998779296875,326912
2024-01-11,438.5,436.3999938964844,441.0,435.5,424158
2024-01-12,437.29998779296875,440.70001220703125,442.20001220703125,437.0,478615
2024-01-15,440.3999938964844,438.8999938964844,440.79998779296875,437.70001220703125,397742
2024-01-16,438.70001220703125,438.8999938964844,441.0,435.5,337451
2024-01-17,435.0,435.8999938964844,437.0,433.70001220703125,506563
2024-01-18,436.70001220703125,441.5,442.0,434.6000061035156,511700
2024-01-19,432.70001220703125,424.0,438.0,423.8999938964844,1934048
2024-01-22,428.79998779296875,434.8999938964844,436.20001220703125,428.6000061035156,872214
2024-01-23,439.0,433.1000061035156,439.1000061035156,432.5,453200
2024-01-24,437.3999938964844,437.1000061035156,439.1000061035156,433.29998779296875,348934
2024-01-25,436.70001220703125,439.6000061035156,441.0,435.5,502191
2024-01-26,439.6000061035156,443.79998779296875,444.1000061035156,436.79998779296875,300463
2024-01-29,442.70001220703125,448.1000061035156,449.20001220703125,442.29998779296875,498146
2024-01-30,448.8999938964844,450.20001220703125,451.3999938964844,447.70001220703125,373602
2024-01-31,451.0,441.79998779296875,453.79998779296875,441.5,914357
2024-02-01,441.79998779296875,451.5,456.70001220703125,439.79998779296875,1194112
2024-02-02,456.29998779296875,457.29998779296875,459.5,451.0,557795
2024-02-05,457.29998779296875,453.0,457.29998779296875,451.3999938964844,615920
2024-02-06,456.1000061035156,455.3999938964844,459.1000061035156,451.8999938964844,437560
2024-02-07,455.3999938964844,454.70001220703125,456.8999938964844,452.29998779296875,473033
2024-02-08,455.70001220703125,457.0,458.79998779296875,453.79998779296875,383975
2024-02-09,456.70001220703125,456.0,458.29998779296875,455.0,386311
2024-02-12,458.29998779296875,457.70001220703125,460.0,456.0,374084
2024-02-13,457.0,454.20001220703125,457.0,450.29998779296875,512060
2024-02-14,454.5,463.1000061035156,464.79998779296875,454.5,383492
2024-02-15,465.20001220703125,468.70001220703125,470.20001220703125,465.20001220703125,685141
2024-02-16,468.1000061035156,475.20001220703125,475.6000061035156,467.70001220703125,596219
2024-02-19,471.1000061035156,473.20001220703125,473.6000061035156,467.79998779296875,450818
2024-02-20,471.3999938964844,472.29998779296875,473.20001220703125,469.79998779296875,285881
2024-02-21,470.29998779296875,473.8999938964844,473.8999938964844,469.6000061035156,328753
2024-02-22,474.0,477.5,478.70001220703125,474.0,472509
2024-02-23,469.0,473.29998779296875,476.1000061035156,460.3999938964844,924700
2024-02-26,473.20001220703125,472.6000061035156,473.79998779296875,468.5,400684
2024-02-27,472.79998779296875,471.6000061035156,472.8999938964844,468.70001220703125,392265
2024-02-28,471.6000061035156,474.1000061035156,474.6000061035156,471.0,679461
2024-02-29,474.1000061035156,478.6000061035156,478.6000061035156,473.5,563607
2024-03-01,478.6000061035156,475.1000061035156,481.20001220703125,473.70001220703125,377834
2024-03-04,475.0,477.29998779296875,477.70001220703125,474.3999938964844,465195
2024-03-05,477.29998779296875,473.6000061035156,479.79998779296875,472.29998779296875,645389
2024-03-06,474.29998779296875,473.79998779296875,474.3999938964844,471.3999938964844,740636
2024-03-07,473.79998779296875,475.6000061035156,477.29998779296875,471.70001220703125,606279
2024-03-08,475.6000061035156,477.29998779296875,478.1000061035156,475.6000061035156,546728
2024-03-11,476.1000061035156,477.79998779296875,477.79998779296875,470.6000061035156,550506
2024-03-12,478.6000061035156,484.3999938964844,484.3999938964844,474.3999938964844,941635
2024-03-13,485.0,490.1000061035156,490.3999938964844,484.29998779296875,541714
2024-03-14,490.20001220703125,494.8999938964844,497.70001220703125,490.20001220703125,508679
2024-03-15,496.5,497.20001220703125,497.20001220703125,490.29998779296875,888041
2024-03-18,497.20001220703125,498.79998779296875,499.0,494.70001220703125,514794
2024-03-19,495.79998779296875,492.5,502.20001220703125,488.3999938964844,731499
2024-03-20,491.8999938964844,497.3999938964844,501.3999938964844,491.8999938964844,801720
2024-03-21,498.29998779296875,499.70001220703125,502.6000061035156,494.20001220703125,794711
2024-03-22,498.8999938964844,503.6000061035156,503.6000061035156,495.5,546497
2024-03-25,494.20001220703125,491.3999938964844,497.1000061035156,490.0,518135
2024-03-26,491.3999938964844,495.0,495.70001220703125,490.79998779296875,350440
2024-03-27,494.3999938964844,493.8999938964844,497.29998779296875,485.3999938964844,891896
2024-03-28,495.0,494.6000061035156,497.70001220703125,494.20001220703125,281899
2024-04-02,495.5,492.29998779296875,503.0,491.5,773016
2024-04-03,493.0,494.1000061035156,495.3999938964844,491.6000061035156,352505
2024-04-04,493.1000061035156,494.6000061035156,494.6000061035156,489.79998779296875,434937
2024-04-05,492.6000061035156,493.3999938964844,493.6000061035156,486.6000061035156,580917
