,Open,Close,High,Low,positive_score,negative_score,neutral_score
2023-12-19,2376.860107421875,2384.5400390625,2391.409912109375,2376.860107421875,0.0,0.0,0.0
2023-12-20,2387.489990234375,2390.840087890625,2394.610107421875,2376.719970703125,0.0,0.0,0.0
2023-12-21,2382.35009765625,2375.139892578125,2382.929931640625,2364.93994140625,0.0,0.0,0.0
2023-12-22,2367.18994140625,2377.050048828125,2384.030029296875,2365.090087890625,0.0,0.0,0.0
2023-12-27,2380.31005859375,2390.280029296875,2398.860107421875,2378.429931640625,0.0,0.0,0.0
2023-12-28,2396.22998046875,2389.010009765625,2398.909912109375,2384.449951171875,0.0,0.0,0.0
2023-12-29,2391.010009765625,2398.169921875,2403.18994140625,2390.8701171875,0.0,0.0,0.0
2024-01-02,2402.389892578125,2394.929931640625,2418.14990234375,2384.7900390625,0.0,0.0,0.0
2024-01-03,2393.909912109375,2356.639892578125,2396.1298828125,2345.820068359375,0.0,0.0,0.0
2024-01-04,2359.2900390625,2361.89990234375,2364.719970703125,2347.14990234375,0.0,0.0,0.0
2024-01-05,2351.27001953125,2337.860107421875,2354.320068359375,2335.889892578125,0.0,0.0,0.0
2024-01-08,2342.919921875,2357.77001953125,2357.820068359375,2330.070068359375,0.0,0.0,0.0
2024-01-09,2360.889892578125,2344.719970703125,2361.719970703125,2332.7900390625,0.0,0.0,0.0
2024-01-10,2341.7099609375,2341.93994140625,2347.93994140625,2335.31005859375,0.0,0.0,0.0
2024-01-11,2358.97998046875,2336.25,2367.530029296875,2333.31005859375,0.0,0.0,0.0
2024-01-12,2342.659912109375,2355.9599609375,2360.56005859375,2342.0,0.0,0.0,0.0
2024-01-15,2359.639892578125,2340.469970703125,2360.760009765625,2334.449951171875,0.0,0.0,0.0
2024-01-16,2329.989990234375,2323.7900390625,2330.800048828125,2315.85009765625,0.0,0.0,0.0
2024-01-17,2298.510009765625,2297.85009765625,2302.5400390625,2285.8701171875,0.0,0.0,0.0
2024-01-18,2301.3798828125,2309.949951171875,2316.389892578125,2293.72998046875,0.0,0.0,0.0
2024-01-19,2320.800048828125,2297.9599609375,2324.159912109375,2294.050048828125,0.0,0.0,0.0
2024-01-22,2314.8701171875,2330.550048828125,2333.840087890625,2314.8701171875,0.0,0.0,0.0
2024-01-23,2338.239990234375,2337.47998046875,2345.139892578125,2324.580078125,0.0,0.0,0.0
2024-01-24,2357.43994140625,2351.10009765625,2363.389892578125,2343.7900390625,0.0,0.0,0.0
2024-01-25,2342.72998046875,2362.72998046875,2364.10009765625,2336.06005859375,0.0,0.0,0.0
2024-01-26,2351.64990234375,2370.1298828125,2372.030029296875,2346.31005859375,0.0,0.0,0.0
2024-01-29,2363.699951171875,2368.06005859375,2376.840087890625,2353.590087890625,0.0,0.0,0.0
2024-01-30,2376.0400390625,2368.360107421875,2379.780029296875,2361.969970703125,0.0,0.0,0.0
2024-01-31,2370.31005859375,2356.60009765625,2371.239990234375,2355.75,0.0,0.0,0.0
2024-02-01,2356.60009765625,2364.81005859375,2380.199951171875,2356.60009765625,0.0,0.0,0.0
2024-02-02,2364.81005859375,2367.89990234375,2384.989990234375,2364.81005859375,0.0,0.0,0.0
2024-02-05,2367.89990234375,2339.889892578125,2368.169921875,2339.889892578125,0.0,0.0,0.0
2024-02-06,2339.889892578125,2357.52001953125,2360.699951171875,2339.889892578125,0.0,0.0,0.0
2024-02-07,2357.52001953125,2356.429931640625,2365.1298828125,2356.429931640625,0.0,0.0,0.0
2024-02-08,2356.429931640625,2358.489990234375,2365.929931640625,2356.429931640625,0.0,0.0,0.0
2024-02-09,2358.489990234375,2352.419921875,2366.889892578125,2345.699951171875,0.0,0.0,0.0
2024-02-12,2357.780029296875,2367.5,2368.739990234375,2357.31005859375,0.0,0.0,0.0
2024-02-13,2365.22998046875,2352.77001953125,2366.10009765625,2339.81005859375,0.0,0.0,0.0
2024-02-14,2349.25,2362.070068359375,2366.139892578125,2348.8701171875,0.0,0.0,0.0
2024-02-15,2374.610107421875,2385.239990234375,2389.6298828125,2374.300048828125,0.0,0.0,0.0
2024-02-16,2393.590087890625,2408.919921875,2415.18994140625,2392.590087890625,0.0,0.0,0.0
2024-02-19,2410.330078125,2410.330078125,2414.02001953125,2401.0,0.0,0.0,0.0
2024-02-20,2411.510009765625,2414.7900390625,2417.030029296875,2402.280029296875,0.0,0.0,0.0
2024-02-21,2415.409912109375,2414.969970703125,2417.7099609375,2403.179931640625,0.0,0.0,0.0
2024-02-22,2433.830078125,2426.3798828125,2442.31005859375,2419.929931640625,0.0,0.0,0.0
2024-02-23,2424.050048828125,2435.449951171875,2437.159912109375,2417.1298828125,0.0,0.0,0.0
